Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Gesture
6.227542875,-5.871254141,-2.474438461,-2.780023014,6.95147458,Go Away
6.237520875,-6.68896503,-2.479696277,-3.1266214,7.788896467,Go Away
6.247497875,-7.101177362,-2.412190465,-3.11049127,8.119146427,Go Away
6.257475875,-7.165079827,-2.250458234,-2.813179066,8.019782269,Go Away
6.267453875,-6.953281982,-2.270525001,-2.362082165,7.686536688,Go Away
6.277431875,-7.014380123,-2.515849904,-2.210635772,7.772897771,Go Away
6.287408875,-7.676874919,-2.763965683,-2.616169413,8.568445437,Go Away
6.297386875,-8.666648315,-2.897466679,-3.432188703,9.761456114,Go Away
6.307364875,-9.77281814,-2.92342744,-4.344515144,11.08734478,Go Away
6.317341875,-11.04348418,-3.39630551,-5.025713428,12.59965195,Go Away
6.32732,-11.93939222,-3.772381172,-5.528165839,13.68724091,Go Away
6.337298,-12.29169515,-3.892317505,-5.891177943,14.17539709,Go Away
6.347276,-12.2012282,-4.045000877,-6.084574016,14.22160478,Go Away
6.357253,-11.76655554,-4.39531166,-6.038735354,13.93689056,Go Away
6.367231,-11.39410194,-4.771227985,-5.742647556,13.62234108,Go Away
6.377209,-11.33192732,-5.158110178,-5.220514587,13.50083146,Go Away
6.387186,-11.42946122,-5.503565433,-4.519892437,13.4666716,Go Away
6.397164,-11.34708798,-5.832711634,-3.595804907,13.25544204,Go Away
6.407142,-11.0455459,-6.20612652,-2.436650537,12.90183539,Go Away
6.41712,-10.62400609,-6.566863473,-1.171053454,12.54450348,Go Away
6.427097,-9.959675857,-7.042427462,0.1049282849,12.19843997,Go Away
6.437075,-9.072688326,-7.646975182,1.323210284,11.9390447,Go Away
6.447053,-8.238271356,-8.208541773,2.240822023,11.84358714,Go Away
6.45703,-7.435094306,-8.655467269,2.753930984,11.73805252,Go Away
6.467008,-6.641728299,-9.096743771,3.063438434,11.67253002,Go Away
6.476986,-6.186133136,-9.537361876,3.607826782,11.92668977,Go Away
6.486964,-6.195369397,-9.9711364,4.619219674,12.61520327,Go Away
6.496941,-6.359780238,-10.43677708,5.582741411,13.43652195,Go Away
6.506919,-6.142188386,-10.94870783,6.172222025,13.9891746,Go Away
6.516897,-5.446750377,-11.36991785,6.368619474,14.12449771,Go Away
6.526874,-4.60492557,-11.72349314,6.404402679,14.13018063,Go Away
6.536852,-3.943824751,-12.07880738,6.37072681,14.21398964,Go Away
6.54683,-3.598797804,-12.60413176,6.0274666,14.42726019,Go Away
6.556808,-3.426889372,-13.06516717,5.314510918,14.51503325,Go Away
6.566785,-3.394701912,-13.45782992,4.623405111,14.62918529,Go Away
6.576763,-3.311714426,-13.82380013,4.285608539,14.84693043,Go Away
6.586741,-2.339923557,-13.97778773,4.925932447,15.0039529,Go Away
6.596718,0.2603671575,-14.18350213,6.458699339,15.58699204,Go Away
6.606696,4.360906059,-14.01684713,8.499713232,16.96274241,Go Away
6.616674,9.132426404,-13.43286114,10.46110851,19.32039756,Go Away
6.626652,13.67176668,-12.82157334,11.20092864,21.83508071,Go Away
6.636629,16.62322596,-12.19229248,9.820320336,22.83467383,Go Away
6.646607,17.76795291,-11.33830079,6.969008068,22.19964615,Go Away
6.656585,18.30503955,-9.971993601,3.863977513,21.20012858,Go Away
6.666562,18.89223215,-8.422965018,1.117203521,20.71499262,Go Away
6.67654,19.19650254,-7.329863135,-1.044763536,20.57484227,Go Away
6.686518,18.752893,-6.479440582,-2.648700982,20.01673707,Go Away
6.696496,17.5788984,-5.735999272,-3.513302448,18.82186629,Go Away
6.706473,15.76915943,-5.193346669,-3.701420825,17.00993106,Go Away
6.716451,13.56445624,-4.724166085,-3.533102875,14.79172181,Go Away
6.726429,11.36988394,-4.274025205,-3.402216461,12.61414401,Go Away
6.736406,9.488804843,-3.896414357,-3.429247554,10.81569235,Go Away
6.746384,8.015687152,-3.486391223,-3.660963939,9.476751619,Go Away
6.756362,6.903973582,-2.984759762,-3.898724007,8.471935489,Go Away
6.76634,6.00498581,-2.522395277,-4.008570385,7.647938875,Go Away
6.776317,5.271176033,-2.135799598,-3.87015802,6.879321172,Go Away
6.786295,4.724655497,-1.769807167,-3.524860055,6.154610092,Go Away
6.796273,4.268528822,-1.438913818,-3.065665346,5.448771907,Go Away
6.80625,3.892938772,-1.215913292,-2.444054866,4.754663143,Go Away
6.816228,3.706182797,-1.049546558,-1.634155272,4.184232589,Go Away
6.826206,3.559361551,-1.001770713,-0.671659137,3.758154495,Go Away
6.836183,3.49284421,-1.017365237,0.3976556879,3.659661562,Go Away
6.846161,3.452613612,-1.06250048,1.410214514,3.87790575,Go Away
6.856139,3.377487416,-1.160167108,2.196915573,4.192832813,Go Away
6.866117,3.212414379,-1.273453987,2.576529969,4.310428967,Go Away
6.876094,3.096286922,-1.295766377,2.525597797,4.20055323,Go Away
6.886072,3.032367499,-1.382904509,2.291615031,4.044647943,Go Away
6.89605,2.927974819,-1.566900013,1.909759981,3.830847867,Go Away
6.906027,2.81970602,-1.72589984,1.499435716,3.630121178,Go Away
6.916005,2.757596603,-1.806626499,1.223315867,3.516353231,Go Away
6.925983,2.671386133,-1.878516846,1.210653722,3.482931502,Go Away
6.935961,2.564662168,-1.972390385,1.385098676,3.519419584,Go Away
6.945938,2.345376232,-2.08968904,1.67524658,3.560061945,Go Away
6.955916,2.057464596,-2.257909926,1.957744572,3.628233951,Go Away
6.965894,1.677621427,-2.450880321,2.190078716,3.690213108,Go Away
6.975871,1.216757045,-2.62384096,2.337680565,3.718842497,Go Away
6.985849,0.7971678668,-2.741585172,2.341626851,3.692557674,Go Away
